id;alter;plz;vorname;gender;nachname;ort;Status;nickname!;straße;Hausnummar;tel;Email
5;2;98756;adolf;himmler;Wolfschanze;häslich;der Adi8;deutsch;führer bunker ;10;+4921321312310;Hitler@deutscland.com
10;55;74336;Nico;Klug;Brackenheim;dumm;Nicospock;Männlein;irgenwo;20;+4912312320;test@test.com
1;55;74182;Frank;Elster;Obersulm;weirdo;Franky;Meerschweinchen;Weinstraße;30;223131;test@test.com
11;21;91077;Zbarter;Berta;Dormitz;Singel;Zbarter;Weiblein;An der Schule;22;49727992123;bb@bund.com
13;25;31091;Kevin;Giselbrat;Coppengrave;Vergeben;KG;Männlein;Kirchstaße;21;4918539885;kg@aool.com
2;17;74336;Koling;Lars;Brackenheim;Vergeben;Larsi;Männlein;coole Straße ;7;4915211;Koling@alooa.com
3;20;74336;König;Whilhem;Brackenheim;singel;König23;Jesus;Königsstraße;7;+491523553;König@gmai.com
7;18;74074;Irna;Tschernavkaija;Heilbronn, Neckar;Singel;Superfeya;Weiblein;Kramatsk street;3;6666666666;Superfeya@ira.ua
25;40;71229;Invan ;Ivanov;Leonberg, Württ;Verheiratet;123;Katze;Bahnhof str;01;+31223123;Kate@Hund.coom
31;14;74081;Ksusha;te;sname;Heilbronn, Neckar;nichts;Ksuha aaa;Weiblein;tesrt STR;25;+123123123;k@gamil.com
666;25;74081;ezra;natali;Heilbronn, Neckar;married;kisa;Asiate;teststr;42;6666666666;natASDFGDCFGDZ
